Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Algeria,2020,May,NA,Min. of Foreign Affairs & Intl. Cooperation,Sabri BOUKADOUM,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of Health, Population, & Hospital Reform",Abderrahmane BENBOUZID,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Higher Education & Scientific Research,Chems-Eddine CHITOUR,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of Housing, Urban Planning, & the City",Kamel NASRI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Industry & Mines,Ferhat Ait Ali BRAHAM,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Interior & Local Govts.,Kamel BELJOUD,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Justice & Keeper of the Seals,Belkacem ZEGHMATI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of Labor, Employment, & Social Security",Ahmed Chawki Fouad Acheuk YOUCEF,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of Micro-Enterprise, Startups, & the Knowledge Economy",Yassine DJERIDENE,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of National Defense,Abdelmadjid TEBBOUNE,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Said CHENGRIHA (Acting),Acting,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of National Education,Mohamed OUADJAOUT,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of National Solidarity, Family, & Women's Affairs",Kaoutar KRIKOU,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Min. of Post, Information Technologies, & Communications",Brahim BOUMZAR,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Public Works & Transport,Farouk CHIALI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Relations With the Parliament,Bessma AZOUAR,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Religious Affairs & Endowments,Youcef BELMEHDI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Tourism & Handicrafts,Hacene MERMOURI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Vocational Training & Education Professionals,Hoyam BENFRIHA,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Water Resources,Arezki BERRAKI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Min. of Youth & Sports,Sid Ali KHALDI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,Sec. Gen. of the Govt.,Yahia BOUKHARI,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,May,NA,"Governor, Central Bank",Benabderrahmane AYMANE,Titular,NA,May2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
