Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Albania,2020,July,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Protection of Entrepreneurs,Sonila QATO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Relations With Parliament,Ermonela FELAJ,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Tourism & Environment,Blendi KLOSI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Transport & Infrastructure,Edmond HAXHINASTO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Urban Development,Eglantina GJERMENI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Min. of Youth & Social Welfare,Blendi KLOSI,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,"Governor, Bank of Albania",Gent SEJKO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,Ambassador to the US,Floreta FABER,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Albania,2020,July,NA,"Permanent Representative to the UN, New York",Besiana KADARE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Algeria,2020,July,NA,Pres.,Abdelmadjid TEBBOUNE,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Prime Min.,Abdelaziz DJERAD,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Agriculture & Rural Development,Cherif OMARI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Commerce,Kamel REZIG,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Communication,Ammar BELHIMER,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Culture,Malika BENDOUDA,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Energy,Mohamed ARKAB,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Environment & Renewable Energies,Mohamed ARKAB,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Finance,Abderrahmane RAOUIA,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Fishing & Fishery,Sid Ahmed FERROUKHI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Foreign Affairs & Intl. Cooperation,Sabri BOUKADOUM,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of Health, Population, & Hospital Reform",Abderrahmane BENBOUZID,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Higher Education & Scientific Research,Chems-Eddine CHITOUR,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of Housing, Urban Planning, & the City",Kamel NASRI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Industry & Mines,Ferhat Ait Ali BRAHAM,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Interior & Local Govts.,Kamel BELJOUD,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Justice & Keeper of the Seals,Belkacem ZEGHMATI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of Labor, Employment, & Social Security",Ahmed Chawki Fouad Acheuk YOUCEF,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of Micro-Enterprise, Startups, & the Knowledge Economy",Yassine DJERIDENE,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of National Defense,Abdelmadjid TEBBOUNE,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Said CHENGRIHA (Acting),Acting,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of National Education,Mohamed OUADJAOUT,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of National Solidarity, Family, & Women's Affairs",Kaoutar KRIKOU,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Min. of Post, Information Technologies, & Communications",Brahim BOUMZAR,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Public Works & Transport,Farouk CHIALI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Relations With the Parliament,Bessma AZOUAR,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Religious Affairs & Endowments,Youcef BELMEHDI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Tourism & Handicrafts,Hacene MERMOURI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Vocational Training & Education Professionals,Hoyam BENFRIHA,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Water Resources,Arezki BERRAKI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Min. of Youth & Sports,Sid Ali KHALDI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Sec. Gen. of the Govt.,Yahia BOUKHARI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Governor, Central Bank",Benabderrahmane AYMANE,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,Ambassador to the US,Madjid BOUGUERRA,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,July,NA,"Permanent Representative to the UN, New York",Sofiane MIMOUMI,Titular,NA,July2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Andorra,2020,July,NA,Head of State (Co-Prince),Emmanuel MACRON,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop",Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Head of Govt.,Antoni MARTI Petit,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Education & Higher Education,Eric JOVER COMAS,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Finance,Jordi CINCA Mateos,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Foreign Affairs,Gilbert SABOYA Sunye,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Health,Carles ALVAREZ MARFANY,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Territorial Planning,Jordi TORRES FALCO,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Min. of Tourism & Commerce,Francesc CAMP Torres,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,Ambassador to the US,Elisenda VIVES BALMANA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,July,NA,"Permanent Representative to the UN, New York",Elisenda VIVES BALMANA,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Angola,2020,July,NA,Pres.,Joao Manuel Goncalves LOURENCO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Vice Pres.,Bornito De Sousa Baltazar DIOGO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Agriculture & Fisheries,Antonio Francisco de ASSIS,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Commerce,Victor Francisco dos Santos FERNANDES,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Min. of Culture, Tourism, & Environment",Adjany COSTA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Education,Ana Paula ELIAS,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Energy & Water,Joao Baptista BORGES,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of External Relations,Tete ANTONIO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Finance,Vera DAVES,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Health,Silvia Paula Valentim LUTUCUTA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Higher Education,Maria Do Rosario Braganca SAMBO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Industry & Trade,Victor Francisco dos Santos FERNANDES,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Interior,Eugenio Cesar LABORINHO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of National Defense & Veterans Affairs,"Joao Ernesto DOS SANTOS ""Liberdade""",Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Public Works & Planning,Manuel Tavares DE ALMEIDA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Science & Technology,Maria Candida TEIXEIRA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Social Communication,Nuno dos Anjos Caldas ALBINO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Min. of Telecommunications, Information Technology, & Social Communication",Manuel Gomes da Conceicao HOMEM,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Territorial Admin.,Marcy LOPES,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Urbanism & Housing,Branca Manuel da Costa Neto do ESPIRITO SANTO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Welfare & Social Reintegration,Joao Baptista KUSSUMUA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of Youth & Sports,Ana Paula Sacramento NETO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Min. in the Office of the Presidency, Civil Affairs",Frederico Manuel Dos Santos e Silva CARDOSO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Min. of State for Economic and Social Development,Manuel Jose Nunes JUNIOR,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Sec. of the Council of Ministers,Adao de ALMEIDA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Governor, National Bank of Angola",Jose de Lima MASSANO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Attorney Gen.,Helder Fernando Pitta GROS,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,Ambassador to the US,Joaquim do ESPIRITO SANTO,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,July,NA,"Permanent Representative to the UN, New York",Maria de Jesus dos Reis FERREIRA,Titular,NA,July2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Governor Gen.,Rodney WILLIAMS,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Prime Min.,Gaston BROWNE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Senior Min.,Lester BIRD,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Agriculture, Fisheries, & Barbuda Affairs",Dean JONAS,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Education, Science, & Technology",Michael BROWNE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Min. of Finance & Corporate Governance,Gaston BROWNE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Foreign Affairs, Immigration, & Intl. Trade",Paul GREENE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Health, Wellness, & the Environment",Molwyn JOSEPH,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Housing, Lands, & Urban Renewal",Maria BROWNE,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Information, Broadcasting, Telecommunications, & Information Technology",Melford NICHOLAS,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Legal Affairs, Public Safety, & Labor",Steadroy BENJAMIN,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Public Utilities, Civil Aviation, & Energy",Robin YEARWOOD,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Min. of Social Transformation & Human Resource Development,Samantha Nicole MARSHALL,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,"Min. of Sports, Culture, National Festivals, & the Arts",Daryll MATHEW,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Antigua and Barbuda,2020,July,NA,Min. of Tourism & Economic Development,Charles FERNANDEZ,Titular,NA,July2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
