Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Algeria,2020,September,NA,Min. of Foreign Affairs & Intl. Cooperation,Sabri BOUKADOUM,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of Health, Population, & Hospital Reform",Abderrahmane BENBOUZID,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Higher Education & Scientific Research,Chems-Eddine CHITOUR,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of Housing, Urban Planning, & the City",Kamel NASRI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Industry & Mines,Ferhat Ait Ali BRAHAM,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Interior & Local Govts.,Kamel BELJOUD,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Justice & Keeper of the Seals,Belkacem ZEGHMATI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of Labor, Employment, & Social Security",Ahmed Chawki Fouad Acheuk YOUCEF,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of Micro-Enterprise, Startups, & the Knowledge Economy",Yassine DJERIDENE,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of National Defense,Abdelmadjid TEBBOUNE,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Said CHENGRIHA (Acting),Acting,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of National Education,Mohamed OUADJAOUT,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of National Solidarity, Family, & Women's Affairs",Kaoutar KRIKOU,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Min. of Post, Information Technologies, & Communications",Brahim BOUMZAR,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Public Works & Transport,Farouk CHIALI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Relations With the Parliament,Bessma AZOUAR,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Religious Affairs & Endowments,Youcef BELMEHDI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Tourism & Handicrafts,Hacene MERMOURI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Vocational Training & Education Professionals,Hoyam BENFRIHA,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Water Resources,Arezki BERRAKI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Min. of Youth & Sports,Sid Ali KHALDI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Sec. Gen. of the Govt.,Yahia BOUKHARI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Governor, Central Bank",Benabderrahmane AYMANE,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,Ambassador to the US,Madjid BOUGUERRA,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Algeria,2020,September,NA,"Permanent Representative to the UN, New York",Sofiane MIMOUMI,Titular,NA,September2020ChiefsDirectory.pdf,6-Mar-20,10/13/2021 3:35
Andorra,2020,September,NA,Head of State (Co-Prince),Emmanuel MACRON,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop",Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
Andorra,2020,September,NA,Head of Govt.,Antoni MARTI Petit,Titular,NA,September2020ChiefsDirectory.pdf,N/A,10/13/2021 3:35
